Show Number, Air Date, Round, Category, Value, Question, Answer
5729,2009-07-02,Jeopardy!,I'M FUNEMPLOYED,$200,Move over Rachel Zoe--I love to work with celebs as this type of stylist (Angelina's fitting is today!),a fashion stylist
5564,2008-11-13,Jeopardy!,TRANSPORTATION,$1000,"This light Russian sleigh, whose name means ""a group of 3"", is pulled by 3 horses",a troika
2847,1997-01-07,Double Jeopardy!,BAYS,$800,"The eastern coast of this bay has many good ports, including Sittwe, Myanmar",Bay of Bengal
5111,2006-11-27,Double Jeopardy!,MOVIE LOCALES,$1200,"""Ferris Bueller's Day Off""",Chicago
5632,2009-02-17,Jeopardy!,NIGHTLY NEWS WORDS,$400,"Yes, I was picturing the scene <a href=""http://www.j-archive.com/media/2009-02-17_J_10.jpg"" target=""_blank"">here</a> before I found this term meant an ex-CEO's sweet benefits",a golden parachute
4199,2002-11-28,Jeopardy!,SO GREAT THEY NEED 2 NICKNAMES,$200,"Before he was Magic he was June Bug, because he's Earvin Junior","""Magic"" Johnson"
5179,2007-03-01,Jeopardy!,MY MAINE MAN!,$600,"Born in Bar Harbor on July 8, 1908, he succeeded Gerald Ford as VP",Rockefeller
5059,2006-09-14,Double Jeopardy!,"APRES ""SKI""",$400,"A-line, mini & peasant are 3 types",skirts
4524,2004-04-15,Double Jeopardy!,SHIPS,$800,"Perhaps the greatest loss of life at sea, over 5,000, came in 1945 when this type of vessel sank the Wilhelm Gustloff",submarine
5303,2007-10-03,Double Jeopardy!,THE H WITH U,$800,It's a Greek word for excessive pride or self-confidence,hubris
6138,2011-04-27,Double Jeopardy!,FAMOUS LAST WORD,$2000,"In the ""Flintstones"" theme",time
3166,1998-05-11,Jeopardy!,POTPOURRI,$400,The Kennedy Center's grand foyer is lit with 18 of these crystal items; they each weigh a ton,Chandeliers
2935,1997-05-09,Double Jeopardy!,WORLD CURRENCY,$400,The aluminum & bronze schilling coin of this country is equivalent to 100 groschen,Austria
5464,2008-05-15,Jeopardy!,"""RA"", ""RA"", ""SIS"", ""BOOM"", ""BA""",$200,It was Bob Marley's religion,Rastafarianism
4634,2004-10-28,Jeopardy!,SURVIVOR: CONGRESS,$200,The tribe has spoken to the 8 Republicans who have run against this Massachusetts senator since 1962,Ted Kennedy
6073,2011-01-26,Double Jeopardy!,ALPHABETICALLY FIRST,$400,Of the numbers 1-10 spelled out,eight
3932,2001-10-09,Jeopardy!,JPL,$500,"(Cheryl of the Clue Crew reports from the JPL in Pasadena)  Scientists at JPL are learning to navigate a vessel close to this type of celestial body, Latin for ""long-haired star""",comet
3933,2001-10-10,Jeopardy!,DURING DiMAGGIO'S HITTING STREAK,$300,This former New York Yankee seen here on a stamp died at age 37,Lou Gehrig
4174,2002-10-24,Jeopardy!,KINGS NAMED GUSTAV,$400,Current king Carl XVI Gustaf met his wife at this event in Munich in 1972; she was an interpreter,Summer Olympics
1330,1990-05-18,Double Jeopardy!,OPERA,$200,"By the end of ""Salome"" this character has lost his head",John the Baptist
4790,2005-06-03,Jeopardy!,ACTORS PLAYING ACTORS,$200,"Kate Mulgrew portrayed this legendary Kate in the 2002 play ""Tea at Five""",Kate Hepburn
5494,2008-06-26,Double Jeopardy!,APPROXIMATE WEIGHTS & MEASURES,$400,It can be a small piece of gold or a bite-sized piece of batter-fried chicken,a nugget
3621,2000-05-08,Double Jeopardy!,ALL ABOUT THE PRESIDENCY,$400,The presidential library system formally began in 1939 when this man donated his papers to the federal government,Franklin D. Roosevelt
5074,2006-10-05,Double Jeopardy!,I WANNA BE...,$2000,...this kind of 12-letter person & make some big bucks correcting crooked teeth with braces,an orthodontist
4732,2005-03-15,Jeopardy!,THE FOOD SECTION,$800,"Pan de muerto, an egg-rich bread, is a favorite in Mexico on this aptly named 4-word holiday",Day of the Dead
3160,1998-05-01,Jeopardy!,"FILE UNDER ""P""",$400,It was filled to the brim with evils; then it was opened & mankind was in trouble,Pandora's box
5864,2010-02-25,Double Jeopardy!,"BABY, YOU CAN DRIVE MY CAR",$1600,"Hey, baby, it's GM's luxury car division named for the explorer who founded Detroit",Cadillac
4914,2006-01-12,Jeopardy!,THE U.S. CONGRESS,$400,She was the first British monarch to address the U.S. Congress,Elizabeth II
3745,2000-12-08,Jeopardy!,TEA TIME,$100,Spots for this brisk tea starred claymation baseball heroes Reggie Jackson & Babe Ruth,Lipton
5714,2009-06-11,Double Jeopardy!,THAT TITLE IS TAKEN,$2000,This Cormac McCarthy title comes from a Yeats poem about a senior citizen's hope to transmute himself into art,No Country for Old Men
4942,2006-02-21,Double Jeopardy!,FRENCH SAUCES,$400,"Veloute, made of stock thickened with a flour & butter roux, is named for this fabric--it's that smooth",velvet
3281,1998-12-07,Jeopardy!,U.S. PRESIDENTS,$300,"From 1890 to 1902, he served as professor of jurisprudence & political economy at Princeton",Woodrow Wilson
3823,2001-03-28,Double Jeopardy!,THE END,$1000,This captain & his ship disappear into a maelstrom at the end of a Jules Verne tale,Captain Nemo
5423,2008-03-19,Jeopardy!,THE WORLD ALMANAC'S WIDELY KNOWN AMERICANS,$800,This New Haven-born casino developer is nearly at the end of the list,Steve Wynn
4913,2006-01-11,Jeopardy!,JACKSON HOLE,$400,In 1989 this famous East Coast symphony orchestra held its first ever summer residency in Jackson Hole,the New York Philharmonic
4524,2004-04-15,Jeopardy!,THE PLAGUE,$200,Plague is generally spread from rodents to humans by these insects,fleas
5740,2009-07-17,Jeopardy!,PET PROJECTS,$400,Monsieur Le Pelt joins Cruella de Vil in the chase for 102 of these in a 2000 sequel,Dalmatians
1103,1989-05-24,Double Jeopardy!,"""D"" IN LITERATURE",$200,"In titles, this word precedes ""Comes for the Archbishop"", ""in Venice"" & ""of a Salesman""",Death
5171,2007-02-19,Jeopardy!,FUN WITH BALLET,$400,"Every ""Psycho"" knows that Matthew Bourne's ballet ""Deadly Serious"" is an homage to this film director",Alfred Hitchcock
2908,1997-04-02,Jeopardy!,AUGUST,$200,"On August 12, 1867 President Johnson named this Civil War general his new Secretary of War",Ulysses S. Grant
6152,2011-05-17,Double Jeopardy!,STUFF,$1200,"StuffIt, which makes computer files smaller, is this type of program, also a kind of wave or bandage",compression
5768,2009-10-14,Double Jeopardy!,NIP/TUCK,$1200,"Saved by Oliver Wendell Holmes' poem about it, it's been refurbished several times & sailed again in 1997","""Old Ironsides"""
3407,1999-06-01,Jeopardy!,TV NOSTALGIA,$400,"One of Tallulah Bankhead's last roles was as this ""Batman"" villainess named for a spider",Black Widow
5952,2010-06-29,Double Jeopardy!,SHAKESPEAREAN OPERAS,"$2,000","Love that sparring: ""Beatrice et Benedict""",Much Ado About Nothing
3506,1999-11-29,Double Jeopardy!,WORD ORIGINS,$200,Type of moustache named for its resemblance to a bicycle part,Handlebar
5666,2009-04-06,Jeopardy!,THE LAST,$800,People with this distinction have included Tevfik Esenc (for Ubykh) & Ned Maddrell (for Manx),the last speaker of their language
3301,1999-01-04,Double Jeopardy!,"""STICK"" WITH IT",$200,It is easier to eat with these wooden utensils after you split them apart,Chopsticks
3874,2001-06-07,Jeopardy!,CONVERSIONS,$100,1 quart equals 2 of these,pints
3916,2001-09-17,Double Jeopardy!,SINGLE DIGITS,$400,"We don't know how many faces death has, but a die has this many",6
4122,2002-07-02,Double Jeopardy!,THE SOUTH PACIFIC,$1200,In 1957 remains of the H.M.S. Bounty were discovered off this tiny island,Pitcairn Island
4452,2004-01-06,Jeopardy!,"DOME, SWEET DOME",$200,It's the European city you'll visit to see the dome seen here,Rome
5518,2008-09-10,Jeopardy!,WHALES,$400,"An adult male whale is called a bull, a female is called a cow & a baby whale is called this",a calf
5640,2009-02-27,Jeopardy!,"WE'RE ALL ""WAITING""",$800,Drama in which Estragon & Vladimir idly pass time away hoping for the title character to appear,Waiting for Godot
4393,2003-10-15,Jeopardy!,SCIENCE BRIEFS,$800,In 1909 Soren Sorensen came up with this scale to measure acidity,pH scale
3354,1999-03-18,Double Jeopardy!,EAT A GREEN THING,$400,Small versions of this common garden vegetable used for pickling are often called gherkins,Cucumbers
4463,2004-01-21,Double Jeopardy!,"""SAN""",$2000,"This seat of Erie County, Ohio was an Underground Railroad stopping point",Sandusky
6159,2011-05-26,Jeopardy!,MUSICAL BY CHARACTERS,$200,Fantine & her daughter Cosette,Les Misérables
3125,1998-03-13,Double Jeopardy!,ENDANGERED SPECIES,$600,The Peregrine species of this bird is sometimes called the duck hawk in the U.S.,the falcon
5411,2008-03-03,Jeopardy!,7-LETTER WORDS,$600,"It precedes ""Man March"" & ""-aire""",million
5257,2007-06-19,Jeopardy!,HEATHERS,$800,Heather Tom (not Heather Thomas) played Victoria Newman on this long-running CBS soap opera,The Young and the Restless
4797,2005-06-14,Jeopardy!,"HOWDY, PARTNER!",$200,19th century printing partner of Nathaniel Currier,Ives
4906,2006-01-02,Jeopardy!,NETWORKING,$200,"""Barney & Friends"", ""Antiques Roadshow"", ""Mystery!""",PBS
6091,2011-02-21,Jeopardy!,EXTREME ANIMALS,$1000,"In the greatest mass egg laying, 500,000 of these sea creatures come ashore in Northeast India to nest",sea turtles
5830,2010-01-08,Double Jeopardy!,"""NIGHT"" SHIFT",$800,A traditional police weapon,a nightstick
4527,2004-04-20,Jeopardy!,"BACK IN ""BLACK""",$1000,Fashionable nickname for Italy's Fascists,the Blackshirts
3614,2000-04-27,Double Jeopardy!,SHORTS,$600,"This female star of ""Hope Floats"" wrote & directed the short ""Making Sandwiches""",Sandra Bullock
5360,2007-12-21,Jeopardy!,ON OUR USO TOUR,$600,"(<a href=""http://www.j-archive.com/media/2007-12-21_J_12.jpg"" target=""_blank"">Alex drives a point home from the Atsugi NAF, Japan.</a>) The Army has the Black Hawk, the Air Force has the Pave Hawk, and the Navy has the assault utility vehicle with this name",the Sea Hawk
4845,2005-10-07,Double Jeopardy!,AROUND THE U.S.A.,$400,"(<a href=""http://www.j-archive.com/media/2005-10-07_DJ_01.jpg"" target=""_blank"">I'm John DeStefano, mayor of New Haven.</a>)  New Haven is known as ""The Smart City"", partly because it's home to this institution founded in 1701",Yale
4266,2003-03-03,Jeopardy!,DON'T BE CHICKEN,$800,This term for a group hiearchy is based on the social behavior of poultry,pecking order
1793,1992-05-20,Double Jeopardy!,HISTORIC AMERICA,$400,"A shrine in Allentown, Penn. is built above the spot where this patriotic symbol was hidden in 1777",the Liberty Bell
5183,2007-03-07,Double Jeopardy!,1980s BESTSELLERS,$800,"Her autobiography ""Shelley: Also Known as Shirley"" was a bestseller in 1980",Shelley Winters
4773,2005-05-11,Jeopardy!,VERB FIRST NAMES,$200,To open or pierce with the surgical instrument of the same name,Lance
3728,2000-11-15,Jeopardy!,ART HISTORY,$100,This ancient statue is also named the Aphrodite of Melos,Venus de Milo
5439,2008-04-10,Double Jeopardy!,EUROPEAN HISTORY,$2000,In 338 B.C. this Macedonian king ended Greece's independence with victory in the battle of Chaeronea,Philip
2829,1996-12-12,Double Jeopardy!,LANGUAGES,$1000,It's the most widely spoken of the artificial languages,Esperanto
5270,2007-07-06,Jeopardy!,HOOKED ON HOMOPHONICS,$600,"An adjective being permitted, or an adverb meaning communicated vocally",allowed / aloud
1152,1989-09-12,Double Jeopardy!,"""ISM""s","$3,000","If your can of green beans bulges out, it may be contaminated with this food poisoning",botulism
3857,2001-05-15,Double Jeopardy!,A KITTY CAT-EGORY,$400,This most popular breed of longhair cat is also simply known as the longhair,Persian
4938,2006-02-15,Double Jeopardy!,ESTATE QUARTERS,$1600,The tartan worn by the queen's piper is displayed at Balmoral Castle in this U.K. nation,Scotland
5258,2007-06-20,Jeopardy!,TV LAND'S TOP QUOTES,$600,"""You're fired""",(Donald) Trump
3036,1997-11-10,Double Jeopardy!,"""HIGH"" SCHOOL",$200,"Chuck Taylor, from whom Converse named a line of these shoes, was a basketball star of the 1910s",high-tops
4572,2004-06-22,Jeopardy!,"GIVE US ""Z"" ANSWER!!!",$800,"A compound of this element, atomic number 30, is used in lotions as a sunscreen",zinc
3202,1998-06-30,Double Jeopardy!,"""NATIONAL""ISM",$800,This party gained power in Germany in 1933 with the support of about 44% of voters,National Socialist Party
5255,2007-06-15,Jeopardy!,GEOLOGY,$1000,"According to plate tectonics theory, there are many plates, each consisting of the crust & the upper part of this",the mantle
4523,2004-04-14,Double Jeopardy!,"FAIRBURY, NEBRASKA",$400,"Fairbury is the seat of this county named for the U.S. president known as the ""Sage of Monticello""",(Thomas) Jefferson
5800,2009-11-27,Double Jeopardy!,"A CHORUS OF ""BOO""S",$1200,It can be a ship's food preparation area or the last car on a freight train,a caboose
5637,2009-02-24,Double Jeopardy!,"""C"" DUTY",$800,You auto know this small Michigan city that rests on the lake of the same name,Cadillac
5867,2010-03-02,Jeopardy!,STATE OF PLAY,$200,"Bears, Bulls, Cubs",Illinois
897,1988-06-28,Jeopardy!,ACTORS' REAL NAMES,$200,"He was born Bela Ferenc Blasko in Lugos, Hungary",Bela Lugosi
5871,2010-03-08,Jeopardy!,FOOD AKA,$600,1 of the 2 U.S. cities that are aliases for strip steak,New York (or Kansas City)
3721,2000-11-06,Jeopardy!,WHAT THEY ARE,$200,"Bias, Pittacus & Solon were 3 of the 7 sages of this land",Greece
4700,2005-01-28,Jeopardy!,THE ENVIRONMENT,$200,"This ""colorful"" & controversial activist environmental group was formed in Canada in 1971",Greenpeace
3116,1998-03-02,Double Jeopardy!,CUTE ANIMALS,$200,The pups of the harp species of these are known as whitecoats,seals
4323,2003-05-21,Jeopardy!,"""W""ORDS",$600,"If you've seen enough parsley in your life, try using this as a garnish instead",watercress
4217,2002-12-24,Double Jeopardy!,ALIAS,$800,Nguyen Tat Thanh began using this alias around 1941 when he founded the Viet Minh,Ho Chi Minh
3095,1998-01-30,Jeopardy!,IN YOUR CHEVROLET,$400,The Metro is from this line Chevrolet introduced in 1989,the Geo
4659,2004-12-02,Jeopardy!,BEN FRANKLIN,$600,"<a href=""http://www.j-archive.com/media/2004-12-02_J_09.jpg"" target=""_blank"">This job Ben got in 1753</a> helped his business, as <a href=""http://www.j-archive.com/media/2004-12-02_J_09.mp3"">described here</a>",Postmaster
4525,2004-04-16,Double Jeopardy!,POTENT PEOPLE,$400,Elizabeth I succeeded the woman nicknamed this,"""Bloody Mary"""
3551,2000-01-31,Jeopardy!,SPACE EXPLORATION,$200,"In 1984 Bruce McCandless became the first human to perform an untethered EVA, which stands for this",Extra-vehicular activity
4327,2003-05-27,Jeopardy!,LET'S HAVE A CONFERENCE,$600,"(I'm NFL wide receiver Jimmy Smith)  I played for Jackson State University in this conference, abbreviated the SWAC",Southwestern Athletic Conference
3530,1999-12-31,Double Jeopardy!,FILMS OF THE '70s,$1000,"In 1975 John Huston co-starred with Sean Connery in ""The Wind and the Lion"" & directed him in this film",The Man Who Would Be King
5311,2007-10-15,Double Jeopardy!,CHILE DOGS,$400,In Concepcion this large dog is called un gran danes,a Great Dane
5822,2009-12-29,Jeopardy!,YOU'RE ALL WET,$1000,The name of this ocean is derived from the name of a titan in Greek myth who was a brother of Prometheus,the Atlantic
4654,2004-11-25,Double Jeopardy!,ADD TWO LETTERS,$2000,New or fresh; add two letters & you get this adjective for an early inhabitant of Australia,original & Aboriginal
2578,1995-11-15,Jeopardy!,MOVIE DEBUTS,$100,"His first film, the 1940 musical ""Too Many Girls"", starred Lucille Ball; they married soon after",Desi Arnaz
5873,2010-03-10,Jeopardy!,"""K"" RATIONS",$800,"On the big screen he was billed as the ""Eighth Wonder of the World""",King Kong
5441,2008-04-14,Jeopardy!,"STARTS WITH ""A""",$200,"In names of holidays, this word precedes Saints' Day & Souls' Day",All
5253,2007-06-13,Jeopardy!,"GET ""OUT OF"" HERE!",$1000,Robert Redford played hunter Denys Finch Hatton in this 1985 biopic,Out of Africa
3334,1999-02-18,Double Jeopardy!,LEGAL LINGO,"$1,500","(VIDEO DAILY DOUBLE): ""(Hi, I'm Star Jones of ""The View""; as a lawyer I can tell you) This Latin phrase meaning ""of unsound mind"" is often used to indicate permanent or temporary insanity""",Non compos mentis
5811,2009-12-14,Double Jeopardy!,THE EMMYS,$1600,Bruce Willis won an Emmy for his guest shot on this sitcom as a lawyer who was eager to date Rachel,Friends
2838,1996-12-25,Double Jeopardy!,BUSINESS & INDUSTRY,$200,Recent versions of this company's flagship product include Dr. Barbie & Teacher Barbie,Mattel
4792,2005-06-07,Double Jeopardy!,QUITE A DICKENS CHARACTER,$400,"Nickname shared by Captain Ahab's cabin boy & the narrator of Dickens' ""Great Expectations""",Pip
3123,1998-03-11,Jeopardy!,WHEN,$100,"On Aug. 28, 1963 he told a crowd gathered in Washington, D.C. ""I have a dream""","Martin Luther King, Jr."
4857,2005-10-25,Jeopardy!,ABBA-SOLUTELY FABULOUS,$400,"""See that girl, watch that scene, dig in"" this ABBA title teen",the Dancing Queen
3516,1999-12-13,Jeopardy!,"A ""HARD"" PLACE",$300,"Song that tells us, ""When I get home to you, I find the things that you do will make me feel alright""","""A Hard Day's Night"""
6130,2011-04-15,Jeopardy!,"YOUR BODY AND ""U""",$400,One kind of this is a wound on the skin; another kind affects the mucous membrane as in the lower esophagus,an ulcer
5678,2009-04-22,Double Jeopardy!,NAME THE PARENT COMPANY,$1600,Dutch Boy paints,Sherwin-Williams
2,1984-09-11,Jeopardy!,STATE CAPITALS,$500,"The name shows its founder, Roger Williams, believed God led him there",Providence
497,1986-11-04,Double Jeopardy!,GAMES,$400,"Popular parlor game also known as ""Animal, Vegetable, or Mineral?""",20 questions
3122,1998-03-10,Jeopardy!,PACKAGING,$500,"Term for a type of ""bomb"" or a spray can that contains gas under pressure",Aerosol
2753,1996-07-17,Jeopardy!,PRIME MINISTERS,$100,This current French president served as prime minister under both Giscard d'Estaing & Mitterrand,Jacques Chirac
5785,2009-11-06,Jeopardy!,THE WORLD'S OCEANS,$200,"At 28,374 feet, the Puerto Rico Trench is this ocean's deepest point",the Atlantic
2124,1993-11-25,Jeopardy!,VOCABULARY,$200,"It can describe a row of bushes that form a border, or it can mean to stall, as if hiding behind one",Hedge
3170,1998-05-15,Jeopardy!,BOOKS & AUTHORS,$500,"This author of ""All I Really Need to Know I Learned in Kindergarten"" is an ordained Unitarian minister",Robert Fulghum
3735,2000-11-24,Final Jeopardy!,AFRICAN MYTHOLOGY,None,"The great creator said these animals couldn't eat the fish of the river, so they fed on the land at night",Hippos
5214,2007-04-19,Double Jeopardy!,EUROPEAN COMPOSERS,$1200,"At the time of this ""New World"" composer's death in 1904, he was the director of the Prague Conservatory",Dvorak
3698,2000-10-04,Double Jeopardy!,GET A JOB ALREADY!,$600,This occupation consists of perambulating with basenjis & schnauzers,walking the dogs
3018,1997-10-15,Jeopardy!,100 _____ MAKE A....,$100,Scrape together 100 sen & you can trade them in for one of these in Japan,Yen
1227,1989-12-26,Jeopardy!,ZOOLOGY,$100,"Despite its name, it can have anywhere from 14 to 177 piars of legs",Centipede
3695,2000-09-29,Double Jeopardy!,A GORILLA'S BEST FRIEND,$800,"Discovered in 1966, Snowflake was the first known specimen of this type of gorilla",White/albino gorilla
3502,1999-11-23,Jeopardy!,DOG STARS,$200,It's the comic strip in which you'll find the Bumsteads' dog Daisy,"""Blondie"""
5542,2008-10-14,Jeopardy!,THE BELLS ARE RINGING,$1000,"Poe rhymed ""the rolling of the bells--of the bells, bells, bells"", with this ""of the bells""",the tolling of the bells
2781,1996-10-07,Double Jeopardy!,POLITICAL TERMS,$600,"According to the Pledge of Allegiance, our flag stands for this form of government",republic
3569,2000-02-24,Jeopardy!,WORLD CELEBRITIES,$300,B.K.S. Iyengar of India is often called the world's foremost teacher of this body-twisting practice,Yoga
3468,1999-10-06,Double Jeopardy!,THE KOSOVO SITUATION,$400,Serbs hold Kosovo dear because they lost a 1389 battle there to this empire,Ottoman Empire
5354,2007-12-13,Jeopardy!,"""WOO"" WOO!",$400,Chewbacca is the best known of these fictional creatures,a Wookiee
4247,2003-02-04,Double Jeopardy!,TECH TALK,$1600,3-letter (sounding like 3-word) name of an instant messaging program introduced in November 1996,ICQ
5542,2008-10-14,Double Jeopardy!,"""C""OUNTRIES",$2000,This nation that joined the E.U. as a divided country is working with the U.N. to reunite under a federal structure,Cyprus
5685,2009-05-01,Double Jeopardy!,DA VINCI,$800,"Dan Brown's ""The Da Vinci Code"" reveals clues in da Vinci's works including one titled this woman ""of the Rocks""",The Madonna
4573,2004-06-23,Jeopardy!,MEASURE FOR MEASURE,$1000,"Abbreviated Wb, it's a unit of magnetic flux, not barbeque intensity",a weber
5722,2009-06-23,Double Jeopardy!,EVERYTHING'S COMING UP MOSES,$800,"Despite what Charlton Heston did, in Exodus, Moses climbs this at least 7 times, not just twice",Mt. Sinai
3348,1999-03-10,Double Jeopardy!,U.S. GEOGRAPHY,$200,A small part of this California mountain range extends into the Lake Tahoe area of Nevada,Sierra Nevadas
3689,2000-09-21,Jeopardy!,VICE PRESIDENTS,$300,"In 1900 Republicans put this ""Rough Rider"" on the ticket to counter the appeal of Democrat William Jennings Bryan",Theodore Roosevelt
5912,2010-05-04,Jeopardy!,"""M"" & EMMYS",$1000,"If you do a little snooping, you'll find that Bruce Willis won in 1987 for this series",Moonlighting
2906,1997-03-31,Double Jeopardy!,THEY ALMOST STARRED IN....,$200,"When Winona Ryder bowed out of ""The Godfather, Part III"" his daughter Sofia replaced her",Francis Ford Coppola
2632,1996-01-30,Double Jeopardy!,NATIONAL PARKS,$400,Upper Geyser Basin in this park has dozens of thermal features,Yellowstone
4703,2005-02-02,Jeopardy!,TV TEENS,$800,Matt Camden was 16 & his sister Mary 14 when this WB show premiered in '96,7th Heaven
5651,2009-03-16,Jeopardy!,FOOD FOR THOUGHT,$800,Squash & sweet potatoes are rich in this orange pigment that's good for the eyes & the brain,beta carotene
4452,2004-01-06,Jeopardy!,"DOME, SWEET DOME",$400,The only ruin intenionally left standing in this Japanese city is the A-Bomb Dome,Hiroshima
3117,1998-03-03,Jeopardy!,GOING CUCKOO,$100,"Sonny is the bird who's ""cuckoo for"" this cereal",Cocoa Puffs
1837,1992-09-08,Jeopardy!,STATE SYMBOLS,$400,"In 1982, Colorado made this plated dinosaur its state fossil",the Stegosaurus
2968,1997-06-25,Jeopardy!,TELEVISION,$300,"This Phil Silvers character was master sergeant of the motor pool at Fort Baxter, Kansas",Sgt. Bilko
4892,2005-12-13,Double Jeopardy!,TAKE A LETTER,$400,The Spanish put a tilde above this letter to indicate a palatal nasal sound,N
5749,2009-09-17,Double Jeopardy!,"""E"" TIMES 3",$400,King David & Jesus both hailed from this town,Bethlehem
2977,1997-07-08,Jeopardy!,FRENCH NAMES OF COUNTRIES,$200,Arabie Saoudite,Saudi Arabia
4692,2005-01-18,Jeopardy!,H.H.,$600,"In 1607, he sailed further north than anyone before him, reaching Spitsbergen, 700 mi. from the Pole",Henry Hudson
4886,2005-12-05,Jeopardy!,ART FOR ART'S SAKE,$800,"She's the Pennsylvania-born expatriate whose work is seen <a href=""http://www.j-archive.com/media/2005-12-05_J_16.jpg"" target=""_blank"">here</a>",(Mary) Cassatt
1639,1991-10-17,Jeopardy!,WORD ORIGINS,$100,Mark Twain should have known the name of this fruit may be an alternation of “hurtleberry”,huckleberry
