Category,Value,Question,Answer,class
SHIPS,$800,"Perhaps the greatest loss of life at sea, over 5,000, came in 1945 when this type of vessel sank the Wilhelm Gustloff",submarine,Non-Fiction
THE H WITH U,$800,It's a Greek word for excessive pride or self-confidence,hubris,Non-Fiction
FAMOUS LAST WORD,$2000,"In the ""Flintstones"" theme",time,Fiction
POTPOURRI,$400,The Kennedy Center's grand foyer is lit with 18 of these crystal items; they each weigh a ton,Chandeliers,Non-Fiction
WORLD CURRENCY,$400,The aluminum & bronze schilling coin of this country is equivalent to 100 groschen,Austria,Non-Fiction
"""RA"", ""RA"", ""SIS"", ""BOOM"", ""BA""",$200,It was Bob Marley's religion,Rastafarianism,Non-Fiction
SURVIVOR: CONGRESS,$200,The tribe has spoken to the 8 Republicans who have run against this Massachusetts senator since 1962,Ted Kennedy,Non-Fiction
ALPHABETICALLY FIRST,$400,Of the numbers 1-10 spelled out,eight,Non-Fiction
JPL,$500,"(Cheryl of the Clue Crew reports from the JPL in Pasadena)  Scientists at JPL are learning to navigate a vessel close to this type of celestial body, Latin for ""long-haired star""",comet,Science/Geography
DURING DiMAGGIO'S HITTING STREAK,$300,This former New York Yankee seen here on a stamp died at age 37,Lou Gehrig,Sports
KINGS NAMED GUSTAV,$400,Current king Carl XVI Gustaf met his wife at this event in Munich in 1972; she was an interpreter,Summer Olympics,Non-Fiction
OPERA,$200,"By the end of ""Salome"" this character has lost his head",John the Baptist,Fiction
ACTORS PLAYING ACTORS,$200,"Kate Mulgrew portrayed this legendary Kate in the 2002 play ""Tea at Five""",Kate Hepburn,Fiction
APPROXIMATE WEIGHTS & MEASURES,$400,It can be a small piece of gold or a bite-sized piece of batter-fried chicken,a nugget,Non-Fiction
ALL ABOUT THE PRESIDENCY,$400,The presidential library system formally began in 1939 when this man donated his papers to the federal government,Franklin D. Roosevelt,Non-Fiction
I WANNA BE...,$2000,...this kind of 12-letter person & make some big bucks correcting crooked teeth with braces,an orthodontist,Non-Fiction
THE FOOD SECTION,$800,"Pan de muerto, an egg-rich bread, is a favorite in Mexico on this aptly named 4-word holiday",Day of the Dead,Non-Fiction
"FILE UNDER ""P""",$400,It was filled to the brim with evils; then it was opened & mankind was in trouble,Pandora's box,Fiction
"BABY, YOU CAN DRIVE MY CAR",$1600,"Hey, baby, it's GM's luxury car division named for the explorer who founded Detroit",Cadillac,Non-Fiction
THE U.S. CONGRESS,$400,She was the first British monarch to address the U.S. Congress,Elizabeth II,Non-Fiction
TEA TIME,$100,Spots for this brisk tea starred claymation baseball heroes Reggie Jackson & Babe Ruth,Lipton,Sports
THAT TITLE IS TAKEN,$2000,This Cormac McCarthy title comes from a Yeats poem about a senior citizen's hope to transmute himself into art,No Country for Old Men,Fiction
FRENCH SAUCES,$400,"Veloute, made of stock thickened with a flour & butter roux, is named for this fabric--it's that smooth",velvet,Non-Fiction
U.S. PRESIDENTS,$300,"From 1890 to 1902, he served as professor of jurisprudence & political economy at Princeton",Woodrow Wilson,Non-Fiction
THE END,$1000,This captain & his ship disappear into a maelstrom at the end of a Jules Verne tale,Captain Nemo,Fiction
THE WORLD ALMANAC'S WIDELY KNOWN AMERICANS,$800,This New Haven-born casino developer is nearly at the end of the list,Steve Wynn,Non-Fiction
JACKSON HOLE,$400,In 1989 this famous East Coast symphony orchestra held its first ever summer residency in Jackson Hole,the New York Philharmonic,Non-Fiction
THE PLAGUE,$200,Plague is generally spread from rodents to humans by these insects,fleas,Science/Geography
PET PROJECTS,$400,Monsieur Le Pelt joins Cruella de Vil in the chase for 102 of these in a 2000 sequel,Dalmatians,Fiction
"""D"" IN LITERATURE",$200,"In titles, this word precedes ""Comes for the Archbishop"", ""in Venice"" & ""of a Salesman""",Death,Fiction
FUN WITH BALLET,$400,"Every ""Psycho"" knows that Matthew Bourne's ballet ""Deadly Serious"" is an homage to this film director",Alfred Hitchcock,Non-Fiction
AUGUST,$200,"On August 12, 1867 President Johnson named this Civil War general his new Secretary of War",Ulysses S. Grant,Non-Fiction
STUFF,$1200,"StuffIt, which makes computer files smaller, is this type of program, also a kind of wave or bandage",compression,Non-Fiction
NIP/TUCK,$1200,"Saved by Oliver Wendell Holmes' poem about it, it's been refurbished several times & sailed again in 1997","""Old Ironsides""",Non-Fiction
TV NOSTALGIA,$400,"One of Tallulah Bankhead's last roles was as this ""Batman"" villainess named for a spider",Black Widow,Fiction
SHAKESPEAREAN OPERAS,"$2,000","Love that sparring: ""Beatrice et Benedict""",Much Ado About Nothing,Fiction
WORD ORIGINS,$200,Type of moustache named for its resemblance to a bicycle part,Handlebar,Non-Fiction
THE LAST,$800,People with this distinction have included Tevfik Esenc (for Ubykh) & Ned Maddrell (for Manx),the last speaker of their language,Non-Fiction
"""STICK"" WITH IT",$200,It is easier to eat with these wooden utensils after you split them apart,Chopsticks,Non-Fiction
CONVERSIONS,$100,1 quart equals 2 of these,pints,Science/Geography
SINGLE DIGITS,$400,"We don't know how many faces death has, but a die has this many",6,Sports
THE SOUTH PACIFIC,$1200,In 1957 remains of the H.M.S. Bounty were discovered off this tiny island,Pitcairn Island,Non-Fiction
"DOME, SWEET DOME",$200,It's the European city you'll visit to see the dome seen here,Rome,Non-Fiction
WHALES,$400,"An adult male whale is called a bull, a female is called a cow & a baby whale is called this",a calf,Science/Geography
"WE'RE ALL ""WAITING""",$800,Drama in which Estragon & Vladimir idly pass time away hoping for the title character to appear,Waiting for Godot,Fiction
SCIENCE BRIEFS,$800,In 1909 Soren Sorensen came up with this scale to measure acidity,pH scale,Science/Geography
EAT A GREEN THING,$400,Small versions of this common garden vegetable used for pickling are often called gherkins,Cucumbers,Non-Fiction
"""SAN""",$2000,"This seat of Erie County, Ohio was an Underground Railroad stopping point",Sandusky,Science/Geography
MUSICAL BY CHARACTERS,$200,Fantine & her daughter Cosette,Les Misérables,Fiction
ENDANGERED SPECIES,$600,The Peregrine species of this bird is sometimes called the duck hawk in the U.S.,the falcon,Science/Geography
7-LETTER WORDS,$600,"It precedes ""Man March"" & ""-aire""",million,Non-Fiction
HEATHERS,$800,Heather Tom (not Heather Thomas) played Victoria Newman on this long-running CBS soap opera,The Young and the Restless,Non-Fiction
"HOWDY, PARTNER!",$200,19th century printing partner of Nathaniel Currier,Ives,Non-Fiction
NETWORKING,$200,"""Barney & Friends"", ""Antiques Roadshow"", ""Mystery!""",PBS,Non-Fiction
EXTREME ANIMALS,$1000,"In the greatest mass egg laying, 500,000 of these sea creatures come ashore in Northeast India to nest",sea turtles,Science/Geography
"""NIGHT"" SHIFT",$800,A traditional police weapon,a nightstick,Non-Fiction
"BACK IN ""BLACK""",$1000,Fashionable nickname for Italy's Fascists,the Blackshirts,Non-Fiction
SHORTS,$600,"This female star of ""Hope Floats"" wrote & directed the short ""Making Sandwiches""",Sandra Bullock,Non-Fiction
ON OUR USO TOUR,$600,"(<a href=""http://www.j-archive.com/media/2007-12-21_J_12.jpg"" target=""_blank"">Alex drives a point home from the Atsugi NAF, Japan.</a>) The Army has the Black Hawk, the Air Force has the Pave Hawk, and the Navy has the assault utility vehicle with this name",the Sea Hawk,Non-Fiction
AROUND THE U.S.A.,$400,"(<a href=""http://www.j-archive.com/media/2005-10-07_DJ_01.jpg"" target=""_blank"">I'm John DeStefano, mayor of New Haven.</a>)  New Haven is known as ""The Smart City"", partly because it's home to this institution founded in 1701",Yale,Science/Geography
DON'T BE CHICKEN,$800,This term for a group hiearchy is based on the social behavior of poultry,pecking order,Non-Fiction
HISTORIC AMERICA,$400,"A shrine in Allentown, Penn. is built above the spot where this patriotic symbol was hidden in 1777",the Liberty Bell,Non-Fiction
1980s BESTSELLERS,$800,"Her autobiography ""Shelley: Also Known as Shirley"" was a bestseller in 1980",Shelley Winters,Non-Fiction
VERB FIRST NAMES,$200,To open or pierce with the surgical instrument of the same name,Lance,Non-Fiction
ART HISTORY,$100,This ancient statue is also named the Aphrodite of Melos,Venus de Milo,Non-Fiction
EUROPEAN HISTORY,$2000,In 338 B.C. this Macedonian king ended Greece's independence with victory in the battle of Chaeronea,Philip,Non-Fiction
LANGUAGES,$1000,It's the most widely spoken of the artificial languages,Esperanto,Non-Fiction
HOOKED ON HOMOPHONICS,$600,"An adjective being permitted, or an adverb meaning communicated vocally",allowed / aloud,Non-Fiction
"""ISM""s","$3,000","If your can of green beans bulges out, it may be contaminated with this food poisoning",botulism,Science/Geography
A KITTY CAT-EGORY,$400,This most popular breed of longhair cat is also simply known as the longhair,Persian,Science/Geography
ESTATE QUARTERS,$1600,The tartan worn by the queen's piper is displayed at Balmoral Castle in this U.K. nation,Scotland,Non-Fiction
TV LAND'S TOP QUOTES,$600,"""You're fired""",(Donald) Trump,Non-Fiction
"""HIGH"" SCHOOL",$200,"Chuck Taylor, from whom Converse named a line of these shoes, was a basketball star of the 1910s",high-tops,Non-Fiction
"GIVE US ""Z"" ANSWER!!!",$800,"A compound of this element, atomic number 30, is used in lotions as a sunscreen",zinc,Science/Geography
"""NATIONAL""ISM",$800,This party gained power in Germany in 1933 with the support of about 44% of voters,National Socialist Party,Non-Fiction
GEOLOGY,$1000,"According to plate tectonics theory, there are many plates, each consisting of the crust & the upper part of this",the mantle,Science/Geography
"FAIRBURY, NEBRASKA",$400,"Fairbury is the seat of this county named for the U.S. president known as the ""Sage of Monticello""",(Thomas) Jefferson,Science/Geography
"A CHORUS OF ""BOO""S",$1200,It can be a ship's food preparation area or the last car on a freight train,a caboose,Non-Fiction
"""C"" DUTY",$800,You auto know this small Michigan city that rests on the lake of the same name,Cadillac,Science/Geography
STATE OF PLAY,$200,"Bears, Bulls, Cubs",Illinois,Science/Geography
ACTORS' REAL NAMES,$200,"He was born Bela Ferenc Blasko in Lugos, Hungary",Bela Lugosi,Non-Fiction
FOOD AKA,$600,1 of the 2 U.S. cities that are aliases for strip steak,New York (or Kansas City),Science/Geography
WHAT THEY ARE,$200,"Bias, Pittacus & Solon were 3 of the 7 sages of this land",Greece,Science/Geography
THE ENVIRONMENT,$200,"This ""colorful"" & controversial activist environmental group was formed in Canada in 1971",Greenpeace,Science/Geography
CUTE ANIMALS,$200,The pups of the harp species of these are known as whitecoats,seals,Science/Geography
"""W""ORDS",$600,"If you've seen enough parsley in your life, try using this as a garnish instead",watercress,Non-Fiction
ALIAS,$800,Nguyen Tat Thanh began using this alias around 1941 when he founded the Viet Minh,Ho Chi Minh,Non-Fiction
IN YOUR CHEVROLET,$400,The Metro is from this line Chevrolet introduced in 1989,the Geo,Non-Fiction
BEN FRANKLIN,$600,"<a href=""http://www.j-archive.com/media/2004-12-02_J_09.jpg"" target=""_blank"">This job Ben got in 1753</a> helped his business, as <a href=""http://www.j-archive.com/media/2004-12-02_J_09.mp3"">described here</a>",Postmaster,Non-Fiction
POTENT PEOPLE,$400,Elizabeth I succeeded the woman nicknamed this,"""Bloody Mary""",Non-Fiction
SPACE EXPLORATION,$200,"In 1984 Bruce McCandless became the first human to perform an untethered EVA, which stands for this",Extra-vehicular activity,Non-Fiction
LET'S HAVE A CONFERENCE,$600,"(I'm NFL wide receiver Jimmy Smith)  I played for Jackson State University in this conference, abbreviated the SWAC",Southwestern Athletic Conference,Sports
FILMS OF THE '70s,$1000,"In 1975 John Huston co-starred with Sean Connery in ""The Wind and the Lion"" & directed him in this film",The Man Who Would Be King,Fiction
CHILE DOGS,$400,In Concepcion this large dog is called un gran danes,a Great Dane,Non-Fiction
YOU'RE ALL WET,$1000,The name of this ocean is derived from the name of a titan in Greek myth who was a brother of Prometheus,the Atlantic,Non-Fiction
ADD TWO LETTERS,$2000,New or fresh; add two letters & you get this adjective for an early inhabitant of Australia,original & Aboriginal,Non-Fiction
MOVIE DEBUTS,$100,"His first film, the 1940 musical ""Too Many Girls"", starred Lucille Ball; they married soon after",Desi Arnaz,Non-Fiction
"""K"" RATIONS",$800,"On the big screen he was billed as the ""Eighth Wonder of the World""",King Kong,Fiction
"STARTS WITH ""A""",$200,"In names of holidays, this word precedes Saints' Day & Souls' Day",All,Non-Fiction
"GET ""OUT OF"" HERE!",$1000,Robert Redford played hunter Denys Finch Hatton in this 1985 biopic,Out of Africa,Fiction
LEGAL LINGO,"$1,500","(VIDEO DAILY DOUBLE): ""(Hi, I'm Star Jones of ""The View""; as a lawyer I can tell you) This Latin phrase meaning ""of unsound mind"" is often used to indicate permanent or temporary insanity""",Non compos mentis,Non-Fiction
THE EMMYS,$1600,Bruce Willis won an Emmy for his guest shot on this sitcom as a lawyer who was eager to date Rachel,Friends,Fiction
BUSINESS & INDUSTRY,$200,Recent versions of this company's flagship product include Dr. Barbie & Teacher Barbie,Mattel,Non-Fiction
QUITE A DICKENS CHARACTER,$400,"Nickname shared by Captain Ahab's cabin boy & the narrator of Dickens' ""Great Expectations""",Pip,Fiction
WHEN,$100,"On Aug. 28, 1963 he told a crowd gathered in Washington, D.C. ""I have a dream""","Martin Luther King, Jr.",Non-Fiction
ABBA-SOLUTELY FABULOUS,$400,"""See that girl, watch that scene, dig in"" this ABBA title teen",the Dancing Queen,Fiction
"A ""HARD"" PLACE",$300,"Song that tells us, ""When I get home to you, I find the things that you do will make me feel alright""","""A Hard Day's Night""",Fiction
"YOUR BODY AND ""U""",$400,One kind of this is a wound on the skin; another kind affects the mucous membrane as in the lower esophagus,an ulcer,Science/Geography
NAME THE PARENT COMPANY,$1600,Dutch Boy paints,Sherwin-Williams,Non-Fiction
STATE CAPITALS,$500,"The name shows its founder, Roger Williams, believed God led him there",Providence,Science/Geography
GAMES,$400,"Popular parlor game also known as ""Animal, Vegetable, or Mineral?""",20 questions,Sports
PACKAGING,$500,"Term for a type of ""bomb"" or a spray can that contains gas under pressure",Aerosol,Non-Fiction
PRIME MINISTERS,$100,This current French president served as prime minister under both Giscard d'Estaing & Mitterrand,Jacques Chirac,Non-Fiction
THE WORLD'S OCEANS,$200,"At 28,374 feet, the Puerto Rico Trench is this ocean's deepest point",the Atlantic,Science/Geography
VOCABULARY,$200,"It can describe a row of bushes that form a border, or it can mean to stall, as if hiding behind one",Hedge,Non-Fiction
BOOKS & AUTHORS,$500,"This author of ""All I Really Need to Know I Learned in Kindergarten"" is an ordained Unitarian minister",Robert Fulghum,Non-Fiction
AFRICAN MYTHOLOGY,None,"The great creator said these animals couldn't eat the fish of the river, so they fed on the land at night",Hippos,Science/Geography
EUROPEAN COMPOSERS,$1200,"At the time of this ""New World"" composer's death in 1904, he was the director of the Prague Conservatory",Dvorak,Non-Fiction
GET A JOB ALREADY!,$600,This occupation consists of perambulating with basenjis & schnauzers,walking the dogs,Non-Fiction
100 _____ MAKE A....,$100,Scrape together 100 sen & you can trade them in for one of these in Japan,Yen,Science/Geography
ZOOLOGY,$100,"Despite its name, it can have anywhere from 14 to 177 piars of legs",Centipede,Science/Geography
A GORILLA'S BEST FRIEND,$800,"Discovered in 1966, Snowflake was the first known specimen of this type of gorilla",White/albino gorilla,Science/Geography
DOG STARS,$200,It's the comic strip in which you'll find the Bumsteads' dog Daisy,"""Blondie""",Fiction
THE BELLS ARE RINGING,$1000,"Poe rhymed ""the rolling of the bells--of the bells, bells, bells"", with this ""of the bells""",the tolling of the bells,Fiction
POLITICAL TERMS,$600,"According to the Pledge of Allegiance, our flag stands for this form of government",republic,Non-Fiction
WORLD CELEBRITIES,$300,B.K.S. Iyengar of India is often called the world's foremost teacher of this body-twisting practice,Yoga,Non-Fiction
THE KOSOVO SITUATION,$400,Serbs hold Kosovo dear because they lost a 1389 battle there to this empire,Ottoman Empire,Non-Fiction
"""WOO"" WOO!",$400,Chewbacca is the best known of these fictional creatures,a Wookiee,Fiction
TECH TALK,$1600,3-letter (sounding like 3-word) name of an instant messaging program introduced in November 1996,ICQ,Non-Fiction
"""C""OUNTRIES",$2000,This nation that joined the E.U. as a divided country is working with the U.N. to reunite under a federal structure,Cyprus,Non-Fiction
DA VINCI,$800,"Dan Brown's ""The Da Vinci Code"" reveals clues in da Vinci's works including one titled this woman ""of the Rocks""",The Madonna,Fiction
MEASURE FOR MEASURE,$1000,"Abbreviated Wb, it's a unit of magnetic flux, not barbeque intensity",a weber,Science/Geography
EVERYTHING'S COMING UP MOSES,$800,"Despite what Charlton Heston did, in Exodus, Moses climbs this at least 7 times, not just twice",Mt. Sinai,Non-Fiction
U.S. GEOGRAPHY,$200,A small part of this California mountain range extends into the Lake Tahoe area of Nevada,Sierra Nevadas,Science/Geography
VICE PRESIDENTS,$300,"In 1900 Republicans put this ""Rough Rider"" on the ticket to counter the appeal of Democrat William Jennings Bryan",Theodore Roosevelt,Non-Fiction
"""M"" & EMMYS",$1000,"If you do a little snooping, you'll find that Bruce Willis won in 1987 for this series",Moonlighting,Non-Fiction
THEY ALMOST STARRED IN....,$200,"When Winona Ryder bowed out of ""The Godfather, Part III"" his daughter Sofia replaced her",Francis Ford Coppola,Non-Fiction
NATIONAL PARKS,$400,Upper Geyser Basin in this park has dozens of thermal features,Yellowstone,Science/Geography
TV TEENS,$800,Matt Camden was 16 & his sister Mary 14 when this WB show premiered in '96,7th Heaven,Non-Fiction
FOOD FOR THOUGHT,$800,Squash & sweet potatoes are rich in this orange pigment that's good for the eyes & the brain,beta carotene,Science/Geography
"DOME, SWEET DOME",$400,The only ruin intenionally left standing in this Japanese city is the A-Bomb Dome,Hiroshima,Non-Fiction
GOING CUCKOO,$100,"Sonny is the bird who's ""cuckoo for"" this cereal",Cocoa Puffs,Fiction
STATE SYMBOLS,$400,"In 1982, Colorado made this plated dinosaur its state fossil",the Stegosaurus,Non-Fiction
TELEVISION,$300,"This Phil Silvers character was master sergeant of the motor pool at Fort Baxter, Kansas",Sgt. Bilko,Fiction
TAKE A LETTER,$400,The Spanish put a tilde above this letter to indicate a palatal nasal sound,N,Non-Fiction
"""E"" TIMES 3",$400,King David & Jesus both hailed from this town,Bethlehem,Non-Fiction
FRENCH NAMES OF COUNTRIES,$200,Arabie Saoudite,Saudi Arabia,Non-Fiction
H.H.,$600,"In 1607, he sailed further north than anyone before him, reaching Spitsbergen, 700 mi. from the Pole",Henry Hudson,Non-Fiction
ART FOR ART'S SAKE,$800,"She's the Pennsylvania-born expatriate whose work is seen <a href=""http://www.j-archive.com/media/2005-12-05_J_16.jpg"" target=""_blank"">here</a>",(Mary) Cassatt,Non-Fiction
WORD ORIGINS,$100,Mark Twain should have known the name of this fruit may be an alternation of “hurtleberry”,huckleberry,Non-Fiction
WHAT FOODS THESE MORSELS BE,$300,This festive holiday drink can be enjoyed all year: (topped with nutmeg),Eggnog,Non-Fiction
FOOD & DRINK BRANDS,$2000,The name of this brand of hard candies was meant to suggest a friendly Western company,Jolly Rancher,Non-Fiction
"I ""AM""",$400,Horrors!  It's a 5-letter term for friendliness,amity,Non-Fiction
THE LAW,$400,An application to a judge to obtain an order; a lawyer might make one to dismiss or to suppress,a motion,Non-Fiction
IN THE NAVY,$400,In 1972 the U.S. Navy promoted its first woman to this rank,Admiral,Non-Fiction
HISTORIC DOCUMENTS,$200,Much of this man's 1796 farewell address was Alexander Hamilton's work,George Washington,Non-Fiction
PO BOYS,$1200,"After featuring his bare chest & flowing locks on the covers of romance novels, this Milan man wrote a few too",Fabio,Non-Fiction
RHYME TIME,$200,$1.99 for a box of Uncle Ben's,rice price,Non-Fiction
STATE BORDERS,$1000,The Connecticut River forms the border of these 2 New England states north of Connecticut,New Hampshire & Vermont,Non-Fiction
BOXING,$400,In 1915 Jess Willard took the heavyweight title from this first black man to hold it,(Jack) Johnson,Sports
PROVERBS,$600,Over 400 years B.C. Thucydides wrote history tends to do this,"""Repeat Itself""",Non-Fiction
MOVIE QUOTES,$200,"Orson Welles film in which you'd hear the line ""I think it would be fun to run a newspaper""",Citizen Kane,Fiction
UTTER NONSENSE,$1000,Helium or this can be used to raise a balloon from which a gondola is suspended,hot air,Science/Geography
ENDS WITH 3 VOWELS,$1600,Emmy-winning actor Bridges,Beau,Non-Fiction
I'VE TRAVELED EACH & EVERY HIGHWAY,$2000,"Domine Quo Vadis Church stands on this road, where tradition says Peter asked Jesus, ""Lord, where are you going?""",the Appian Way,Non-Fiction
"WHAT'S UP, DUCK?",$1000,This controversial social drama by Henrik Ibsen premiered in Norway in 1885,The Wild Duck,Non-Fiction
DIRTY ROTTEN SCOUNDRELS,$200,"This woman with a reputation as a hard-drinking, foul-mouthed ruffian claims she married Wild Bill Hickok",Calamity Jane,Non-Fiction
A NUMBER LESS THAN 10,$400,"In cricket scoring, it's a duck's egg",0,Sports
"A BOY NAMED SUE, ET AL.",$800,"This actress has played a vice president, a chief justice, Homer Simpson's mom & Cruella de Vil",Glenn Close,Non-Fiction
DIRECT TO VIDEO,$100,"You can order a copy of this fitness guru's ""Sweatin' To The Oldies"" from his web site",Richard Simmons,Non-Fiction
POLITICAL QUOTES,$200,"Louisiana ""Kingfish"" who reportedly said, ""The time has come for all good men to rise above principle""",Huey Long,Non-Fiction
HYPO-POURRI,$200,"One who fears that he is suffering from a major undetected disease, despite medical evidence to the contrary",a hypochondriac,Science/Geography
TAKES 2 TO TONGA,$800,"Like its longtime benefactor the U.K., Tonga's political system is a hereditary, constitutional one of these",a monarchy,Non-Fiction
LANDLOCKED UP,$400,One of the 2 landlocked countries that border the Czech Republic,(1 of) Austria (or Slovakia),Non-Fiction
BRITISH HISTORY,$1000,"Though it sounds like a grim volume, it's just William the Conqueror's survey of the British kingdom",The Domesday Book,Non-Fiction
AROUND THE HORN,$600,This strait that separates the Pacific & Atlantic oceans is named for a Portuguese guy,Magellan,Non-Fiction
"""R"" TOWN",$200,"If you're tall & tan & young & lovely, head to Ipanema Beach in this city",Rio de Janeiro,Non-Fiction
MIDDLE NAMES,$200,Middle name of baseball pitcher Lynn Ryan Jr.,Nolan,Sports
CAPITAL CITY BIRTHPLACES,$400,Simon Bolivar,Caracas,Non-Fiction
WHERE YA FROM?,$400,Lucy Lawless,New Zealand,Non-Fiction
GUITARIST'S LINGO,$400,The Byrds' Roger McGuinn is perhaps the most famous player of the Rickenbacker guitar with this many strings,12,Non-Fiction
BEASTLY LIT,$1600,"A mystery by Donna Andrews: ""We'll Always Have"" these birds",Parrots,Fiction
AMERICAN POLITICAL IDOL,"$1,500","The Whiskey Ring scandal & William Belknap, his Sec. of War, impeached? No wonder this Republican didn't get a third term!",Ulysses Grant,Non-Fiction
THE CIVIL WAR,$1200,"Though designed to hold 10,000 men, this notorious prison once held more than 32,000",Andersonville,Non-Fiction
FAMOUS COUNTS,$200,This literary count was based in part on a Romanian prince named Vlad the Impaler,Count Dracula,Fiction
WHAT'S ON YOUR HEAD?,$1000,"This hat named for its ""north-of-the-border"" wearers is worn in the U.S. by state policemen & forest rangers",a Mountie hat,Non-Fiction
YOU'RE A JEOPARDY! FAN IF…,$200,"A citizenship test asks for these 3 enemy countries of the U.S. in WWII & all you hear is ""Da-da-da-da…""","Germany, Italy & Japan",Non-Fiction
FASHION HISTORY,$300,"When a Roman youth reached manhood, he began to wear a toga pura of this color",white,Non-Fiction
